,Index,Article,Original Summary,Generated Summary
10,7,"Scallops may look like simple creatures, but the seafood delicacy has 200 eyes that function remarkably like a telescope, using living mirrors to focus light, researchers said Thursday. But scallops have concave mirrors at the back of their eyes. Scientists have known since the 1960s that Pecten scallops see by reflecting light off these concave mirrors onto the retina above, said the report in the journal Science. Some crustaceans and deep sea fish also have eyes like this. But now they have found a way to peer more deeply into these mirrors than ever before, by using a microscope that rapidly freezes samples so they do not get dehydrated and retain their shape. The result is first-ever view of a mosaic of tiny mirrors and crystals, carefully arranged inside scallops' small poppy seed-like eyes which line their outer edge, known as the mantle. Each mirror is layered, reflecting wavelengths of light in their habitat and giving them a spatial view of their surroundings. Each mirror is also tiled with a mosaic of square-shaped crystals, minimizing surface defects for a clearer picture, the Science report said. The mirror forms images on a double-layered retina, to separately image both peripheral and central fields of view. While it is still difficult to know what the world looks like to a scallop, researchers say this well-honed peripheral vision likely helps the scallop control and guide its movement while swimming, enabling it to assess which things around it are static or moving. The findings illustrate scallops' remarkable ability to grow their own complex visual system, and may pave the way for novel bio-inspired optical devices for imaging and sensing applications, the report said. The study was led by researchers at Israel's Weizmann Institute of Science and Lund University in Sweden. Explore further: New mirror reflects light differently than conventional mirrors. More information: BA Palmer el al., The image-forming mirror in the eye of the scallop, Science (2017).","Scallops, known as a seafood delicacy, can have up to 200 eyes that function like a telescope, using layered mirrors to focus light unlike most animal eyes which have lenses, an Israel-based study has revealed. Further, the mirrors tiled with square crystals, form images on a double-layered retina, to separately focus both peripheral and central fields of view, said researchers.","scallops, known as a seafood delicacy, can have died after the global entrepreneurship index of 2018, which is topped by the countries based on entrepreneurial also lets the law and order that has to a major losers, six peels with six six six six six six being dr temple being"
11,44,"The details were included under Fake Indian Currency Notes (FICN) table introduced for the first time in the latest data for 2016, the year demonetisation was announced and 86% of the currency was rendered illegal. Seizures made by State/UT Police, Investigation Agencies, Intelligence Agencies & CAPF and Detections made by Banks were taken into account of the National level database created by the NCRB. The report includes seizures of old currency notes of Rs 500, and Rs 1,000, which were removed from circulation on November 8 last year and made illegal tender. After the note ban, old notes were allowed to be deposited in banks, with unusual deposits coming under income tax scrutiny. Demonetisation was hailed as a step that would curb black money, corruption and check counterfeit currency.","Delhi reported the maximum number of seizures of Fake Indian Currency Notes, with 1.14 lakh notes worth over ₹5 crore being recovered in 2016. The data was revealed on Thursday in the annual report of the National Crime Records Bureau. A total number of 2.81 lakh fake notes worth nearly ₹16 crore were seized in 2016, the report added.       ","former australian batsman has been appointed as the chairman and managing director of air india, is a karnataka of the region on reports that the shankar of the number of troops in snatch and bhansali were below 18 six six six six six six six being dr being if 'halla"
12,40,"India has moved up one place to spot 68 on the Global Entrepreneurship Index of 2018, which is topped by the US. The USA is in first position in 2018. The list was prepared for 137 countries in the world. Each country is ranked according to its GEI score to indicate overall entrepreneurship attitude and potential, Ortmans said at a session at the Global Entrepreneurship Summit (GES) being held here. Last year, India enjoyed the largest jump in the rankings, moving up 29 spots to 69th position. India was strong in product innovation while weak in the area of technology absorption, last year's report had said. GEN is a platform of programmes and initiatives to help new firms start and scale while working to create a global entrepreneurial ecosystem. GEN is a strategic partner of GEDI. The network is conducting a series of public policy focused roundtable events in India to explore innovative public sector approaches to stimulate new firm formations and growth, a GEN press release said. Six to eight policy panels are being planned to reach all 30 federal State (states) by the end of 2018 to promote entrepreneurship, create jobs, incentivise capital investments and work towards the sustainability of Indian enterprises by creating global linkages, the release said.","India has moved up one place to the 68th spot on the Global Entrepreneurship Index of 2018, which is topped by the US. The index ranks 137 countries based on Entrepreneurial Attitudes, Entrepreneurial Ability, and Entrepreneurial Aspirations. Notably, last year, India saw the largest jump in the rankings, moving up 29 spots to 69th position.","india has moved up one place to the 68th spot on the global entrepreneurship index of 2018, which is index of 17 on the number of the and firm firm firm the softbank-led and bhansali will be major losers, losers, losers, six six six six six six being dr being"
13,0,"The Delhi High Court on Friday refused to restrain journalist Arnab Goswami and his Republic TV from airing news about Congress MP Shashi Tharoor's wife Sunanda Pushkar's death case. The High Court also said that the press has to exercise care and caution while reporting about matters under investigation or pending trial, the Live Law reported. Every individual has a right to silence. He cannot be forced or compelled to speak on the issue, Justice Manmohan said. The court's order came on three different applications filed by Tharoor in his Rs 2 crore defamation suit against Goswami and the channel for allegedly making defamatory remarks against him while airing news relating to the mysterious death of his wife. Earlier in September, the Delhi High Court refrained from passing any interim order restraining Goswami and his news channel from airing any news or debate in connection with Pushkar's death case. Justice Manmohan had issued notice to Goswami and sought their responses on Tharoor's plea to restrain them from allegedly misreporting the contents of court proceedings related to Pushkar's death. It had also observed that the Congress leader has not shown any law by which investigation cannot be done by the journalist. Show me that after the first date of hearing, he (Goswami) has called you a murderer, the judge said, adding I cannot dictate what should be the editorial policy of a news channel. The Congress leader has alleged that after the last date of hearing on August 16, the journalist and his channel continued to indulge in misreporting and had broadcast an 8-hour programme on September 4 related to his wife's death. Sunanda Pushkar was found dead at a suite in a five star hotel in South Delhi on the night of January 17, 2014. Tharoor said the said channel's broadcast was a bid to establish itself. The media has very important role as a witness but the media doesn't have a role of being a prosecutor, a judge or an executioner. The Thiruvananthapuram MP said he had nothing to hide and had been fully cooperative with the police. Earlier this year, the head of All India Institutes of Medical Sciences (AIIMS) forensic department, Sudhir Gupta had confirmed that the death of Sunanda Pushkar Tharoor was unnatural and caused due to poisoning. We clearly said that this is a case of poisoning. This has been clearly stated in the opinion. This opinion has been made and formed on the basis of circumstantial evidence where certain drugs and poison have been recovered by Delhi police itself, Gupta told ANI.",The Delhi High Court on Friday refused to restrain journalist Arnab Goswami and his news channel Republic TV from airing news on Congress MP Shashi Tharoor's wife Sunanda Pushkar's death. The court also asked Goswami and Republic TV to send an advance notice to Tharoor for his views before airing any news in connection with Pushkar's death case.,"the boxing federation of tamil nadu and new in kerala have you in the quarter is topped by the region on thursday. reports that reports that the law and order to someone for the major losers, in six six six six six six peels singh...[he] under under government under government"
14,26,"India's GDP growth quickened to 6.3% in the September quarter, up from a three-year low of 5.7% in the June quarter, an indication that the Indian economy has shaken off the lingering effects of demonetisation last year and GST rollout on 1 July. Manufacturing activity accelerated due to restocking of warehouses by companies after temporary disruption caused by uncertainties surrounding implementation of goods and services tax (GST). While agriculture sector decelerated to 1.7% in September quarter from 2.3% in June quarter due to unfavourable kharif output, manufacturing sector grew at 7% against 1.2% during the same period. Mining output and electricity generation also grew faster than the first quarter at 5.5% and 7.6% respectively. However, most of the services sectors slowed down including the public expenditure which grew at 6% in second quarter against 9.5% in the first quarter. Finance minister Arun Jaitley said September quarter marks the reversal of the downward trend in economic growth. Additionally, this indicates that perhaps the impact of the two structural reforms-demonetisation and GST-is behind us and hopefully, we can look for an upward trajectory in the third and the fourth quarter, he added. Former finance minister P Chidambaram however said this a pause in the declining trend of economic growth. We cannot say now whether this will mark an upward trend in the growth rate. We should wait for the growth rates over the next 3-4 quarters before we can reach a definite conclusion. 6.3% is far below the promise of the Modi government and far below the potential of a well-managed Indian economy, he tweeted. While demonetisation of high-value currencies in November last year was expected to have disrupted supply chains in the informal economy, uncertainties emanating from GST implementation forced companies to cut down production and stocks, leading to a dip in manufacturing activity in the June quarter. Chief statistician of India TCA Anant said the reversal in manufacturing activity in September quarter is mostly to meet the additional demand for the festive season. Stock rebuilding by companies has not been completed. Next quarter GDP growth may also benefit from restocking, he added. Anant said the GDP estimation for the trade, hotel transport and communication services (9.9% in Q2 versus 11.1% in Q1) has been calculated using trend growth in past quarters which may have led to an underestimation. This could be revised upward as new data is made available, Anant said. Ranen Banerjee, Partner with PwC India, said the Indian economy is still experiencing slow down in the services sector such as finance, transport and hotels that grew at 5.7% in September quarter against 6.4% in the previous quarter. The possible causes could be the larger working capital requirements faced by services sector and teething process issues post GST implemention. We also possibly need to examine whether the three percentage point increase in tax rate on services to 18% under GST regime causing some demand side impacts. We will need to wait for thrid and fourth quarter GDP numbers to be able to comment on this more conclusively, he added. While growth in private consumption dipped to 6.5% in September quarter, investment demand growth picked up to 4.6% during the same quarter. Public expenditure which used to be the driver of economic growth in the previous quarters slowed down to 6% in September quarter. Data separately released by the Controller General of Accounts showed government exhausting 96% of its annual fiscal deficit target in first seven months of the fiscal year till October against 73% exhausted during the same period a year ago. Gireesh Chandra Prasad contributed to this story.","India's Gross Domestic Product (GDP) growth rebound to 6.3% in September quarter from a three-year low of 5.7% in the June quarter, government data showed on Thursday. However, the pace of growth is still below 7.5% recorded in the corresponding quarter a year ago. Further, the economy grew at 6.1% in Gross Value Added (GVA) terms.",former australian batsman matthew has been appointed as its chairman and scotland on the cricket lost on the region on the region on many as reports that the number of troops close to doklam. and others of a major called six called called called proposals which this comes after based
15,23,"In a bid to promote digital payments, the Indian Railways has said it will bring UPI payment system at all its ticket reservation counters across the country from Friday. We are going to roll out UPI-based payment system at all reservation counters across the country, railway board member (traffic) Mohammad Jamshed said in New Delhi. He said the system will currently be launched only for reserved tickets. He said over 97% of the tickets sold at Passenger Reservation System (PRS) counters daily are through cash and only two-three per cent of transactions at the reservation counters are through debit or credit cards. According to railway officials, 7.5 lakh tickets are booked daily. Now a passenger does not have to carry his credit/debit card, as they will be able to book it through BHIM app through a mobile phone, Jamshed said. He said the Railways is working to develop Bharat QR code option for booking tickets Once it's completed, passengers just need to scan the QR code to make payments, the official said. The Railways earns around Rs 110 crore daily by selling reserved tickets - Rs 80 crore from e-ticketing and Rs 30 crore from tickets sold at reservation counters.","Indian Railways will accept payments through Unified Payments Interface (UPI) and Bharat Interface for Money (BHIM) app for booking railway tickets from reservation counters Friday onwards. Adding that the system has currently been launched for reserved tickets, an official said that Railways is also working to develop Bharat QR code option for booking tickets.",indian railways will accept payments through unified payments interface for money (bhim) app for booking railway tickets from reservation counters friday onwards. adding that the been shankar for a said that it is also working to develop bharat qr qr qr with hospital ground field field wrongly incidents fraternity incidents
16,36,"Former Union Finance Minister and senior Congress leader P Chidambaram on Thursday welcomed the improvement in GDP growth, however, he said that it is too early to say that the upward trend would continue for the rest of the financial year. Chidambaram added that the 6.3% growth in the GDP was far from what the Modi government had promised. India's Gross Domestic Product (GDP) in the July-September quarter improved to 6.3 per cent from a year earlier. Chidambaram, who has been severely criticising the economic policies of the Modi government, said it was good to notice a 'pause' in the declining trend that the GDP witnessed in the last five months but added that the real picture would emerge in months to come. Happy that the July-Sep quarter has registered a growth rate of 6.3%. But we cannot say now whether this will mark an upward trend in the growth rate, Chidambaram said. We should wait for the growth rates over the next 3-4 quarters before we can reach a definite conclusion, he added. Earlier in the day, while responding Prime Minister Narendra Modi for criticising the Congress party after it demanded an 18-per cent cap on GST rates, saying whether the government's Chief Economic Adviser (CEA) was stupid for having a similar view. If it is Grand Stupid Thought to argue for a cap of the tax rate at 18%, then CEA Dr Arvind Subramanian and many other economists are stupid. Modi, who addressed four back-to-back election rallies in Gujarat on Wednesday, targeted Congress vice-president Rahul Gandhi over his remarks on the Goods and Services Tax (GST). In a rebuttal to Gandhi's repeated criticism of the GST, a key economic reform undertaken by the NDA government, Modi said a recently emerged economist was propagating a grand stupid thought by suggesting a uniform GST rate of 18 per cent.","Congress leader P Chidambaram has said that improvement in GDP growth to 6.3% in the September quarter is ""a pause in the declining trend of the last five quarters"". He further said the growth is far below the potential of a well-managed Indian economy. ""We should wait for growth rates over next 3-4 quarters before reaching a conclusion,"" he added.","congress leader p chidambaram has said that he to 6.3% in the september quarter is ""a pause in the last five quarters"". the growth is far below the of the world a well-managed indian economy. ""we should wait for growth in for reacting with with qr qr qr with non-hindu"
17,41,"As many as 800 million workers worldwide may lose their jobs to robots and automation by 2030, equivalent to more than a fifth of today's global labor force. That's according to a new report covering 46 nations and more than 800 occupations by the research arm of McKinsey & Co The consulting company said Wednesday that both developed and emerging countries will be impacted. Machine operators, fast-food workers and back-office employees are among those who will be most affected if automation spreads quickly through the workplace. Even if the rise of robots is less rapid, some 400 million workers could still find themselves displaced by automation and would need to find new jobs over the next 13 years, the McKinsey Global Institute study found. The good news for those displaced is that there will be jobs for them to transition into, although in many cases they're going to have to learn new skills to do the work. Those jobs will include health-care providers for aging populations, technology specialists and even gardeners, according to the report. We're all going to have to change and learn how to do new things over time, Michael Chui, a San Francisco-based partner at the institute, said in an interview. For more on robots, check out the Decrypted podcast:","As many as 800 million workers worldwide may lose their jobs to robots and automation by 2030, according to a report by McKinsey Global Institute. Machine operators, fast-food workers and back-office employees are among those who will be most affected, the report added. The research by McKinsey covered 46 nations and more than 800 occupations.","as many as 800 million workers worldwide may lose their jobs to robots and automation by 2030, according to mckinsey 17 17 17 17 reports that you will also has to a most of the carry drugs into desired tissues. after delivery, the pro-saudi, internationally-recognised government government tamil users' users'"
18,35,"Bitcoin has no underlying rate of return, said Bogle, 88, who started the first index fund in 1976. You know bonds have an interest coupon, stocks have earnings and dividends, gold has nothing. There is nothing to support bitcoin except the hope that you will sell it to someone for more than you paid for it.","Jack Bogle, the Founder of US investment management company Vanguard, has warned investors to ""avoid bitcoin like the plague"". He said, ""There is nothing to support bitcoin except the hope that you will sell it to someone for more than you paid for it."" Reacting to Bitcoin's recent price surge, Bogle said, ""When it gets back to $100, we'll talk.""
","jack bogle, the founder of us investment management company vanguard, has warned investors to the pause in the team of all the hope that you who has law to someone for more than you paid for it."" you with padmavati you with late consider late tamil lucknow. people jd(u) under"
19,16,"Just as the first leads showed the ruling BJP making early gains in the Uttar Pradesh civic election, party's Rajya Sabha MP Subramanian Swamy tweeted that the BJP is riding the Ram temple wave, which will culminate with a typhoon in 2019, when the Lok Sabha elections will be held. UP local bodies elections BJP rides the Ram Mandir wave. I give as good as I get, reads his Twitter bio. BJP RAISES PITCH FOR RAM MANDIR. Ever since it came to power at the Centre in 2014, the BJP and its affiliates within what is known as the Sangh Parivar have been consistently raising the pitch for a Ram temple in Ayodhya, where a Mughal-era mosque was demolished by a Hindu mob on December 6, 1992. The Rashtriya Swayamsevak Sangh (RSS), which heads the Sangh, and the Vishwa Hindu Parishad (VHP) claim the Babri mosque was built after destroying an original Ram temple. After it was demolished, the VHP raised a makeshift Ram temple there, saying it was where Lord Ram was born. Last week, RSS chief Mohan Bhagwat raised the pitch for a grand Ram temple in Ayodhya, saying it will be constructed only at the disputed site and nothing else will be built there. It will be constructed and that too in its original form and with the same stones. It will be built under the leadership of those who led this movement and have been holding its flag for 20-25 years, he said at a three-day 'Dharam Sansad' of the VHP in Udupi. It was for the first time that an RSS chief had spoken so vehemently on the Ram temple issue in a public address. So far, the clamour for a temple in Ayodhya was largely a BJP and VHP plank. Next week, the Supreme Court will begin the final hearing on the cross-appeals filed against a 2010 judgement of the Allahabad High Court in the Ram Janmabhoomi-Babri Masjid title dispute. The high court had ruled a three-way division of the disputed 2.77 acre area at Ayodhya among the parties - the Sunni Waqf Board, the Nirmohi Akhara, and the Ram Lalla. However, in the run-up to the high-stakes Gujarat election, the Ram temple issue will continue to dominate headlines for now.","With BJP leading in the Uttar Pradesh municipal elections, BJP leader Subramanian Swamy on Friday tweeted, ""UP local bodies elections BJP rides the Ram Mandir wave. Wait for the typhoon in 2019."" Meanwhile, the counting in all the districts of the state is on and the results are likely to be announced by Friday afternoon.","with bjp leading in the uttar pradesh municipal elections, bjp leader hardik patel said, ""i feel honoured and the delhi high of the 30-member parliamentary panel has also lets the law and it and it to be menlo six were never never again again again again wherein wherein he with"
